Acupoint_Code,Relation,Action_Target,,,,,,,,,,,,,,,,,,,,,,,
ST34,expels,Damp,,,,,,,,,,,,,,,,,,,,,,,
ST34,expels,Wind,,,,,,,,,,,,,,,,,,,,,,,
ST35,invigorates,Channels,,,,,,,,,,,,,,,,,,,,,,,
ST35,relieves,Swelling,,,,,,,,,,,,,,,,,,,,,,,
ST35,stops,Pain,,,,,,,,,,,,,,,,,,,,,,,
ST36,benefits,Stomach,,,,,,,,,,,,,,,,,,,,,,,
ST36,benefits,Spleen,,,,,,,,,,,,,,,,,,,,,,,
ST36,tonifies,Qi,,,,,,,,,,,,,,,,,,,,,,,
ST36,tonifies,Blood,,,,,,,,,,,,,,,,,,,,,,,
ST36,dispels,Cold,,,,,,,,,,,,,,,,,,,,,,,
ST36,strengthens,Body,,,,,,,,,,,,,,,,,,,,,,,
ST36,brightens,Eyes,,,,,,,,,,,,,,,,,,,,,,,
ST36,regulates,Nutritive Qi,,,,,,,,,,,,,,,,,,,,,,,
ST36,regulates,Defensive Qi,,,,,,,,,,,,,,,,,,,,,,,
ST36,regulates,Intestines,,,,,,,,,,,,,,,,,,,,,,,
ST36,raises,Yang,,,,,,,,,,,,,,,,,,,,,,,
ST36,expels,Wind,,,,,,,,,,,,,,,,,,,,,,,
ST36,expels,Damp,,,,,,,,,,,,,,,,,,,,,,,
ST36,resolves,Edema,,,,,,,,,,,,,,,,,,,,,,,
ST37,regulates,Stomach Function,,,,,,,,,,,,,,,,,,,,,,,
ST37,regulates,Intestines Function,,,,,,,,,,,,,,,,,,,,,,,
ST37,eliminates,Damp Heat,,,,,,,,,,,,,,,,,,,,,,,
ST37,dispels,Food Retention,,,,,,,,,,,,,,,,,,,,,,,
ST37,calms,Asthma,,,,,,,,,,,,,,,,,,,,,,,
ST38,removes,Channel Obstructions,,,,,,,,,,,,,,,,,,,,,,,
ST39,regulates,Stomach Function,,,,,,,,,,,,,,,,,,,,,,,
ST39,regulates,Intestines Function,,,,,,,,,,,,,,,,,,,,,,,
ST39,eliminates,Damp Heat,,,,,,,,,,,,,,,,,,,,,,,
ST39,eliminates,Wind Damp,,,,,,,,,,,,,,,,,,,,,,,
ST39,stops,Pain,,,,,,,,,,,,,,,,,,,,,,,
ST40,resolves,Phlegm,,,,,,,,,,,,,,,,,,,,,,,
ST40,resolves,Damp,,,,,,,,,,,,,,,,,,,,,,,
ST40,calms,Asthma,,,,,,,,,,,,,,,,,,,,,,,
ST40,clears,Heat,,,,,,,,,,,,,,,,,,,,,,,
ST40,calms,Mind,,,,,,,,,,,,,,,,,,,,,,,
ST40,clears,Mind,,,,,,,,,,,,,,,,,,,,,,,
ST40,opens,Chest,,,,,,,,,,,,,,,,,,,,,,,
ST41,removes,Channel Obstructions,,,,,,,,,,,,,,,,,,,,,,,
ST41,eliminates,Wind,,,,,,,,,,,,,,,,,,,,,,,
ST41,clears,Heat,,,,,,,,,,,,,,,,,,,,,,,
ST41,clears,Mind,,,,,,,,,,,,,,,,,,,,,,,
ST41,brightens,Eyes,,,,,,,,,,,,,,,,,,,,,,,
ST42,tonifies,Stomach,,,,,,,,,,,,,,,,,,,,,,,
ST42,tonifies,Spleen,,,,,,,,,,,,,,,,,,,,,,,
ST42,calms,Mind,,,,,,,,,,,,,,,,,,,,,,,
ST42,removes,Channel Obstructions,,,,,,,,,,,,,,,,,,,,,,,
ST43,eliminates,Wind,,,,,,,,,,,,,,,,,,,,,,,
ST43,eliminates,Heat,,,,,,,,,,,,,,,,,,,,,,,
ST43,removes,Channel Obstructions,,,,,,,,,,,,,,,,,,,,,,,
ST44,clears,Heat,,,,,,,,,,,,,,,,,,,,,,,
ST44,eliminates,Fullness,,,,,,,,,,,,,,,,,,,,,,,
ST44,regulates,Qi,,,,,,,,,,,,,,,,,,,,,,,
ST44,stops,Pain,,,,,,,,,,,,,,,,,,,,,,,
ST44,promotes,Digestion,,,,,,,,,,,,,,,,,,,,,,,
ST44,eliminates,Wind,,,,,,,,,,,,,,,,,,,,,,,
ST45,calms,Mind,,,,,,,,,,,,,,,,,,,,,,,
ST45,brightens,Eyes,,,,,,,,,,,,,,,,,,,,,,,
ST45,clears,Heart,,,,,,,,,,,,,,,,,,,,,,,
ST45,relieves,Food Retention,,,,,,,,,,,,,,,,,,,,,,,
SP1,strengthens,Spleen,,,,,,,,,,,,,,,,,,,,,,,
SP1,regulates,Blood,,,,,,,,,,,,,,,,,,,,,,,
SP1,calms,Wind,,,,,,,,,,,,,,,,,,,,,,,
SP2,strengthens,Spleen,,,,,,,,,,,,,,,,,,,,,,,
SP2,promotes,Digestion,,,,,,,,,,,,,,,,,,,,,,,
SP2,clears,Heat,,,,,,,,,,,,,,,,,,,,,,,
SP3,strengthens,Spleen,,,,,,,,,,,,,,,,,,,,,,,
SP3,resolves,Damp,,,,,,,,,,,,,,,,,,,,,,,
SP3,strengthens,Spine,,,,,,,,,,,,,,,,,,,,,,,
SP4,tonifies,Stomach,,,,,,,,,,,,,,,,,,,,,,,
SP4,tonifies,Spleen,,,,,,,,,,,,,,,,,,,,,,,
SP4,regulates,Chong Channels,,,,,,,,,,,,,,,,,,,,,,,
SP4,stops,Bleeding,,,,,,,,,,,,,,,,,,,,,,,
SP4,dispels,Fullness,,,,,,,,,,,,,,,,,,,,,,,
SP4,pacifies,Stomach,,,,,,,,,,,,,,,,,,,,,,,
SP4,removes,Obstructions,,,,,,,,,,,,,,,,,,,,,,,
SP4,regulates,Menses,,,,,,,,,,,,,,,,,,,,,,,
SP5,strengthens,Stomach,,,,,,,,,,,,,,,,,,,,,,,
SP5,strengthens,Spleen,,,,,,,,,,,,,,,,,,,,,,,
SP5,resolves,Damp,,,,,,,,,,,,,,,,,,,,,,,
SP6,strengthens,Spleen,,,,,,,,,,,,,,,,,,,,,,,
SP6,resolves,Damp,,,,,,,,,,,,,,,,,,,,,,,
SP6,promotes,Liver Function,,,,,,,,,,,,,,,,,,,,,,,
SP6,smooths,Liver Qi Flow,,,,,,,,,,,,,,,,,,,,,,,
SP6,tonifies,Kidneys,,,,,,,,,,,,,,,,,,,,,,,
SP6,nourishes,Blood,,,,,,,,,,,,,,,,,,,,,,,
SP6,nourishes,Yin,,,,,,,,,,,,,,,,,,,,,,,
SP6,benefits,Urination,,,,,,,,,,,,,,,,,,,,,,,
SP6,regulates,Uterus,,,,,,,,,,,,,,,,,,,,,,,
SP6,regulates,Menstruation,,,,,,,,,,,,,,,,,,,,,,,
SP6,moves,Blood,,,,,,,,,,,,,,,,,,,,,,,
SP6,cools,Blood,,,,,,,,,,,,,,,,,,,,,,,
SP6,eliminates,Stasis,,,,,,,,,,,,,,,,,,,,,,,
SP6,stops,Pain,,,,,,,,,,,,,,,,,,,,,,,
SP6,calms,Mind,,,,,,,,,,,,,,,,,,,,,,,
SP7,fortifies,Spleen,,,,,,,,,,,,,,,,,,,,,,,
SP7,harmonizes,Stomach,,,,,,,,,,,,,,,,,,,,,,,
SP7,disinhibits,Damp,,,,,,,,,,,,,,,,,,,,,,,
SP7,disperses,Swelling,,,,,,,,,,,,,,,,,,,,,,,
SP7,frees,Channels,,,,,,,,,,,,,,,,,,,,,,,
SP7,quickens,Connecting Vessels,,,,,,,,,,,,,,,,,,,,,,,
SP7,regulates,Qi,,,,,,,,,,,,,,,,,,,,,,,
SP7,regulates,Blood,,,,,,,,,,,,,,,,,,,,,,,
SP8,removes,Channel Obstructions,,,,,,,,,,,,,,,,,,,,,,,
SP8,regulates,Qi,,,,,,,,,,,,,,,,,,,,,,,
SP8,regulates,Blood,,,,,,,,,,,,,,,,,,,,,,,
SP8,regulates,Uterus,,,,,,,,,,,,,,,,,,,,,,,
SP8,stops,Pain,,,,,,,,,,,,,,,,,,,,,,,
SP9,resolves,Damp,,,,,,,,,,,,,,,,,,,,,,,
SP9,benefits,Lower Burner,,,,,,,,,,,,,,,,,,,,,,,
SP9,benefits,Urination,,,,,,,,,,,,,,,,,,,,,,,
SP9,removes,Channel Obstructions,,,,,,,,,,,,,,,,,,,,,,,
SP10,cools,Blood,,,,,,,,,,,,,,,,,,,,,,,
SP10,removes,Blood Stasis,,,,,,,,,,,,,,,,,,,,,,,
SP10,regulates,Menstruation,,,,,,,,,,,,,,,,,,,,,,,
SP10,tonifies,Blood,,,,,,,,,,,,,,,,,,,,,,,
SP11,clears,Head,,,,,,,,,,,,,,,,,,,,,,,
SP11,promotes,Free Flow Through Waterway,,,,,,,,,,,,,,,,,,,,,,,
SP12,removes,Channel Obstructions,,,,,,,,,,,,,,,,,,,,,,,
SP12,tonifies,Yin,,,,,,,,,,,,,,,,,,,,,,,
SP13,regulates,Qi Dynamic,,,,,,,,,,,,,,,,,,,,,,,
SP13,soothes,Liver,,,,,,,,,,,,,,,,,,,,,,,
SP13,relieves,Pain,,,,,,,,,,,,,,,,,,,,,,,
SP14,warms,Center,,,,,,,,,,,,,,,,,,,,,,,
SP14,dissipates,Cold,,,,,,,,,,,,,,,,,,,,,,,
SP14,rectifies,Qi,,,,,,,,,,,,,,,,,,,,,,,
SP14,downbears,Counterflow,,,,,,,,,,,,,,,,,,,,,,,
SP15,strengthens,Spleen,,,,,,,,,,,,,,,,,,,,,,,
SP15,strengthens,Limbs,,,,,,,,,,,,,,,,,,,,,,,
SP15,resolves,Damp,,,,,,,,,,,,,,,,,,,,,,,
SP15,regulates,Qi,,,,,,,,,,,,,,,,,,,,,,,
SP15,stops,Pain,,,,,,,,,,,,,,,,,,,,,,,
SP15,promotes,Large Intestine Function,,,,,,,,,,,,,,,,,,,,,,,
SP16,clears,Heat,,,,,,,,,,,,,,,,,,,,,,,
SP16,disinhibits,Damp,,,,,,,,,,,,,,,,,,,,,,,
SP16,frees,Bowel Qi,,,,,,,,,,,,,,,,,,,,,,,
SP17,rectifies,Qi,,,,,,,,,,,,,,,,,,,,,,,
SP17,disinhibits,Water,,,,,,,,,,,,,,,,,,,,,,,
SP17,courses,Triple Burner,,,,,,,,,,,,,,,,,,,,,,,
SP18,loosens,Chest,,,,,,,,,,,,,,,,,,,,,,,
SP18,rectifies,Qi,,,,,,,,,,,,,,,,,,,,,,,
SP18,downbears,Counterflow,,,,,,,,,,,,,,,,,,,,,,,
SP18,suppresses,Cough,,,,,,,,,,,,,,,,,,,,,,,
SP19,diffuses,Lung Qi,,,,,,,,,,,,,,,,,,,,,,,
SP19,downbears,Lung Qi,,,,,,,,,,,,,,,,,,,,,,,
SP19,suppresses,Cough,,,,,,,,,,,,,,,,,,,,,,,
SP19,stabilizes,Dyspnea,,,,,,,,,,,,,,,,,,,,,,,
SP20,diffuses,Lung Qi,,,,,,,,,,,,,,,,,,,,,,,
SP20,downbears,Lung Qi,,,,,,,,,,,,,,,,,,,,,,,
SP20,suppresses,Cough,,,,,,,,,,,,,,,,,,,,,,,
SP20,stabilizes,Dyspnea,,,,,,,,,,,,,,,,,,,,,,,
SP21,moves,Blood,,,,,,,,,,,,,,,,,,,,,,,
HT1,nourishes,Heart Yin,,,,,,,,,,,,,,,,,,,,,,,
HT1,clears,Empty Heat,,,,,,,,,,,,,,,,,,,,,,,
HT2,frees,Channels,,,,,,,,,,,,,,,,,,,,,,,
HT2,quickens,Connecting Vessels,,,,,,,,,,,,,,,,,,,,,,,
HT2,regulates,Qi,,,,,,,,,,,,,,,,,,,,,,,
HT2,regulates,Blood,,,,,,,,,,,,,,,,,,,,,,,
HT3,removes,Channel Obstructions,,,,,,,,,,,,,,,,,,,,,,,
HT3,calms,Mind,,,,,,,,,,,,,,,,,,,,,,,
HT3,clears,Heat,,,,,,,,,,,,,,,,,,,,,,,
HT4,removes,Channel Obstructions,,,,,,,,,,,,,,,,,,,,,,,
HT5,calms,Mind,,,,,,,,,,,,,,,,,,,,,,,
HT5,tonifies,Heart Qi,,,,,,,,,,,,,,,,,,,,,,,
HT5,opens,Into Tongue,,,,,,,,,,,,,,,,,,,,,,,
HT5,benefits,Bladder,,,,,,,,,,,,,,,,,,,,,,,
HT6,nourishes,Heart Yin,,,,,,,,,,,,,,,,,,,,,,,
